CODIGO,DESCRIPCION," TIPO",CANTIDAD,PRECIO,PRECIO H.,Ubicación,CATEGORIA,PROVEEDOR,TOTAL
1T,"ADAPTADOR TF H 20 MM X 1/2""",UND,0,"0,00 US$",0,,,,0
2T,"ADAPTADOR TF M 20 MM X 1/2""",UND,0,,0,,,,0
3T,BUJE TF 25X20 MM,UND,0,,0,,,,0
4T,"CODO TF ADAPTADOR H 90 20 MM X 1/2""",UND,0,,0,,,,0
5T,CODO TF 45º 20 MM,UND,0,,0,,,,0
6T,CODO TF 45º 32 MM,UND,0,,0,,,,0
7T,CODO TF 90º 20 MM,UND,0,,0,,,,0
8T,CODO TF 90º 25 MM VERDE,UND,0,,0,,,,0
9T,CODO TF 45º 25 MM,UND,0,,0,,,,0
10T,MANGUERA TIGRE FLEX 20 MM X 50 M,UND,0,,0,,,,0
11T,TEE TF 20 MM,UND,0,,0,,,,0
12T,TEE TF 25 MM VERDE,UND,0,,0,,,,0
13T,TEFLON GRANDE,UND,0,"0,45 US$","0,54",,,,0
14T,TEFLON PEQUEÑO,UND,0,,0,,,,0
15T,TUBO TF PN 20 MM X 6 M,UND,0,,0,,,,0
16T,TUBO TF PN 25 MM X 6 M,UND,0,"7,50 US$",9,,,,0
17T,TUBO TF PN 32 MM X 6 M,UND,0,,0,,,,0
18T,UNION TF 20 MM,UND,0,"0,19 US$","0,228",,,,0
19T,UNION TF 25 MM,UND,0,,0,,,,0
20T,"VALVULA MARIPOSA 20 MM ",UND,0,,0,,,,0
21T,NEPLO CORRIDO ROSCA 3/4,UND,0,,0,,,,0
22T,TEE ROSCABLE 3/4 PLASTIGAMA,UND,0,,0,,,,0
23T,"TEE H/N 150 UL/ FM 1""",UND,0,,0,,,,0
24T,CODO ROSCABLE 3/4 PLASTIGAMA,UND,0,,0,,,,0
25T,CODO ROSCABLE 1/2 PLASTIGAMA,UND,0,,0,,,,0
26T,UNION DE 1/2 DE RIEGO,UND,0,,0,,,,0
27T,NEPLO INOX 3/4 C CINT,UND,0,,0,,,,0
28T,BUSHING REDUCTOR DE 1· X 3/4,UND,0,,0,,,,0
29T,"BUSHING REDUCTOR DE 1""X1/2 ",UND,0,,0,,,,0
30T,BUSHING REDUCTOR DE 3/4 X 1/2,UND,0,,0,,,,0
31T,WYPE DE COLORES FUNDA GRANDE,UND,0,,0,,,,0
32T,WYPE DE COLORES FUNDA PEQUEÑA,UND,0,,0,,,,0
33T,CODO CACHIMBA ROSCABLE 3/4 PLASTIGAMA,UND,0,,0,,,,0
34T,NUDO UNIVERSAL 3/4PLASTIGAMA,UND,0,,0,,,,0
35T,"REDUCTOR ROSCABLE DE 1"" X 3/4 PLASTIGAMA",UND,0,,0,,,,0
36T,REDUCTOR ROSCABLE DE 3/4 X 1/2 PLASTIGAMA,UND,0,,0,,,,0
37T,REDUCTOR BUJE ROSCABLE DE 1 1/2 X 1 PLASTIGAMA,UND,0,,0,,,,0
38T,TAPON ROSCABLE DE 1/2 PLASTIGAMA,UND,0,,0,,,,0
39T,TAPON ROSCABLE DE 3/4 PLASTIGAMA,UND,0,,0,,,,0
40T,"UNION ROSCABLE 1"" PLASTIGAMA",UND,0,,0,,,,0
41T,UNION ROSCABLE DE 1/2 PLASTIGAMA,UND,0,,0,,,,0
42T,TEE 16 DE RIEGO,UND,0,,0,,,,0
43T,"CODO LASCO DE 1"" X 45",UND,0,,0,,,,0
44T,"CODO LASCO DE 1"" X 90",UND,0,,0,,,,0
45T,CODO LASCO DE 3/4 X 90,UND,0,,0,,,,0
46T,CODO LASCO PEGABLE 1/2,UND,0,,0,,,,0
47T,"CODO LASCO 1"" X 1/4",UND,0,,0,,,,0
48T,TEE LASCO DE 1 1/2,UND,0,,0,,,,0
49T,"ADAPTADOR M LASCO 1""",UND,0,,0,,,,0
50T,"BUJE LASCO PEGABLE Y ROSCABLE 2"" X 1""",UND,0,,0,,,,0
51T,"BUJE LASCO ROSCABLE DE 1"" 1/2 X 3/4""",UND,0,,0,,,,0
52T,ADAPTADOR HEMBRA LASCO DE 1 1/4,UND,0,,0,,,,0
53T,CODO TF 32 X 90,UND,0,,0,,,,0
54T,ADAPTADOR PARA TANQUE 3/4 PLASTIGAMA,UND,0,,0,,,,0
55T,VARILLA ROSCADA DE 3/8X3MTS A CERO GALVANIZADO,UND,0,,0,,,,0
56T,"BUJE REDUCTOR DE 1"" A 3/4 PLASTIGAMA",UND,0,,0,,,,0
57T,"BUJE REDUCTOR DE 1/2 A 1""PLASTIGAMA",UND,0,,0,,,,0
58T,CINTA AISLANTE,UND,0,,0,,,,0
59T,"CODO A/I ROSCABLE 90X1""",UND,0,,0,,,,0
60T,"TEE A/I ROSC 1""",UND,0,,0,,,,0
61T,BOQUILLA TF 63 MM TIGRE,UND,0,,0,,,,0
62T,"NEPLO ACERO INOXIDABLE 1"" X 5""",UND,0,,0,,,,0
63T,"NEPLO ACERO INOXIDABLE 1"" X 8""",UND,0,,0,,,,0
64T,"NUDO ACERO INOXIDABLE DE 1/2""",UND,0,,0,,,,0
65T,"NEPLO ACERO INOXIDABLE DE 1/2"" X 3·",UND,0,,0,,,,0
66T,"CODO H/M 150 UL/FM 90X1""",UND,0,,0,,,,0
67T,TUBO TF PP3 PN 63 MM X 6M TIGRE,UND,0,,0,,,,0
68T,TEE TF RED CENT 63X20MM SO,UND,0,,0,,,,0
69T,CODO TF 45 ANGULO 63 MM TGR,UND,0,,0,,,,0
70T,BUJE TF 63X50MM TGR,UND,0,,0,,,,0
"71T ",BUJE TF 50X32MM TGR,UND,0,,0,,,,0
72T,PEGATANQUE NEGRO,UND,0,,0,,,,0
73T,ACOPLE MACHO PARA MANGUERA,UND,0,,0,,,,0
74T,CONECTOR RAPID HEMBRA PARA MANGUERA DE RIEGO,UND,0,,0,,,,0
75T,"BUJE TF 32X25"" TIGRE",UND,0,,0,,,,0
76T,CODO DENTADO FLEX 16 MM,UND,0,,0,,,,0
