nombre,codigo,descripcion,tipo_unidad,tipo
"ADAPTADOR TF H 20 MM X 1/2""",H0001,"ADAPTADOR TF H 20 MM X 1/2""",UND,Inventario
"ADAPTADOR TF M 20 MM X 1/2""",H0002,"ADAPTADOR TF M 20 MM X 1/2""",UND,Inventario
BUJE TF 25X20 MM,H0003,BUJE TF 25X20 MM,UND,Inventario
"CODO TF ADAPTADOR H 90 20 MM X 1/2""",H0004,"CODO TF ADAPTADOR H 90 20 MM X 1/2""",UND,Inventario
CODO TF 45º 20 MM,H0005,CODO TF 45º 20 MM,UND,Inventario
CODO TF 45º 32 MM,H0006,CODO TF 45º 32 MM,UND,Inventario
CODO TF 90º 20 MM,H0007,CODO TF 90º 20 MM,UND,Inventario
CODO TF 90º 25 MM VERDE,H0008,CODO TF 90º 25 MM VERDE,UND,Inventario
CODO TF 45º 25 MM,H0009,CODO TF 45º 25 MM,UND,Inventario
MANGUERA TIGRE FLEX 20 MM X 50 M,H0010,MANGUERA TIGRE FLEX 20 MM X 50 M,UND,Inventario
TEE TF 20 MM,H0011,TEE TF 20 MM,UND,Inventario
TEE TF 25 MM VERDE,H0012,TEE TF 25 MM VERDE,UND,Inventario
TEFLON GRANDE,H0013,TEFLON GRANDE,UND,Inventario
TEFLON PEQUEÑO,H0014,TEFLON PEQUEÑO,UND,Inventario
TUBO TF PN 20 MM X 6 M,H0015,TUBO TF PN 20 MM X 6 M,UND,Inventario
TUBO TF PN 25 MM X 6 M,H0016,TUBO TF PN 25 MM X 6 M,UND,Inventario
TUBO TF PN 32 MM X 6 M,H0017,TUBO TF PN 32 MM X 6 M,UND,Inventario
UNION TF 20 MM,H0018,UNION TF 20 MM,UND,Inventario
UNION TF 25 MM,H0019,UNION TF 25 MM,UND,Inventario
VALVULA MARIPOSA 20 MM ,H0020,VALVULA MARIPOSA 20 MM ,UND,Inventario
NEPLO CORRIDO ROSCA 3/4,H0021,NEPLO CORRIDO ROSCA 3/4,UND,Inventario
TEE ROSCABLE 3/4 PLASTIGAMA,H0022,TEE ROSCABLE 3/4 PLASTIGAMA,UND,Inventario
"TEE H/N 150 UL/ FM 1""",H0023,"TEE H/N 150 UL/ FM 1""",UND,Inventario
CODO ROSCABLE 3/4 PLASTIGAMA,H0024,CODO ROSCABLE 3/4 PLASTIGAMA,UND,Inventario
CODO ROSCABLE 1/2 PLASTIGAMA,H0025,CODO ROSCABLE 1/2 PLASTIGAMA,UND,Inventario
UNION DE 1/2 DE RIEGO,H0026,UNION DE 1/2 DE RIEGO,UND,Inventario
NEPLO INOX 3/4 C CINT,H0027,NEPLO INOX 3/4 C CINT,UND,Inventario
