nombre,codigo,descripcion,tipo_unidad,venta,,,
"ADAPTADOR TF H 20 MM X 1/2""",H0001,"ADAPTADOR TF H 20 MM X 1/2""",UND,,,,
"ADAPTADOR TF M 20 MM X 1/2""",H0002,"ADAPTADOR TF M 20 MM X 1/2""",UND,,,,
BUJE TF 25X20 MM,H0003,BUJE TF 25X20 MM,UND,,,,
"CODO TF ADAPTADOR H 90 20 MM X 1/2""",H0004,"CODO TF ADAPTADOR H 90 20 MM X 1/2""",UND,,,,
CODO TF 45º 20 MM,H0005,CODO TF 45º 20 MM,UND,,,,
CODO TF 45º 32 MM,H0006,CODO TF 45º 32 MM,UND,,,,
CODO TF 90º 20 MM,H0007,CODO TF 90º 20 MM,UND,,,,
CODO TF 90º 25 MM VERDE,H0008,CODO TF 90º 25 MM VERDE,UND,,,,
CODO TF 45º 25 MM,H0009,CODO TF 45º 25 MM,UND,,,,
MANGUERA TIGRE FLEX 20 MM X 50 M,H0010,MANGUERA TIGRE FLEX 20 MM X 50 M,UND,,,,
TEE TF 20 MM,H0011,TEE TF 20 MM,UND,,,,
TEE TF 25 MM VERDE,H0012,TEE TF 25 MM VERDE,UND,,,,
TEFLON GRANDE,H0013,TEFLON GRANDE,UND,,,,
TEFLON PEQUEÑO,H0014,TEFLON PEQUEÑO,UND,,,,
TUBO TF PN 20 MM X 6 M,H0015,TUBO TF PN 20 MM X 6 M,UND,,,,
TUBO TF PN 25 MM X 6 M,H0016,TUBO TF PN 25 MM X 6 M,UND,,,,
TUBO TF PN 32 MM X 6 M,H0017,TUBO TF PN 32 MM X 6 M,UND,,,,
UNION TF 20 MM,H0018,UNION TF 20 MM,UND,,,,
UNION TF 25 MM,H0019,UNION TF 25 MM,UND,,,,
VALVULA MARIPOSA 20 MM ,H0020,VALVULA MARIPOSA 20 MM ,UND,,,,
NEPLO CORRIDO ROSCA 3/4,H0021,NEPLO CORRIDO ROSCA 3/4,UND,,,,
TEE ROSCABLE 3/4 PLASTIGAMA,H0022,TEE ROSCABLE 3/4 PLASTIGAMA,UND,,,,
