[2025-06-25T23:49:06.096Z] INFO: GET /
[2025-06-25T23:49:06.620Z] INFO: GET /favicon.ico
[2025-06-25T23:49:21.380Z] INFO: GET /categoria/
[2025-06-25T23:53:30.770Z] INFO: GET /prueba/
[2025-06-25T23:53:51.177Z] INFO: GET /csrf-token/
[2025-06-25T23:55:14.949Z] INFO: GET /categoria NaN
[2025-06-25T23:56:20.434Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.444Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.448Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.451Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.455Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.458Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.461Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.465Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.470Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.474Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.477Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.480Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.483Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.486Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.489Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.491Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.494Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.496Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.499Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.502Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.504Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.506Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.508Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.510Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.513Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.516Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.519Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.521Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.524Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.527Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.529Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.531Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.533Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.535Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.536Z] INFO: POST /categoria/ NaN
[2025-06-25T23:56:20.539Z] INFO: POST /categoria/ NaN
